category1,category2,showtime,purchaseIndex1688,supplyIndex,crawl_Time
童装,儿童防晒衣/皮肤衣,2019-06-16,941,1432,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-06-17,867,1434,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-06-18,1089,1429,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-06-19,1083,1432,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-06-20,1031,1423,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-06-21,955,1426,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-06-22,1004,1423,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-06-23,825,1425,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-06-24,772,1426,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-06-25,955,1427,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-06-26,853,1426,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-06-27,922,1426,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-06-28,844,1419,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-06-29,779,1420,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-06-30,659,1423,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-07-01,681,1424,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-07-02,817,1420,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-07-03,827,1418,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-07-04,799,1401,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-07-05,779,1402,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-07-06,722,1399,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-07-07,663,1398,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-07-08,614,1397,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-07-09,748,1394,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-07-10,763,1390,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-07-11,739,1386,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-07-12,723,1383,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-07-13,683,1381,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-07-14,584,1374,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-07-15,553,1373,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-07-16,661,1367,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-07-17,658,1359,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-07-18,692,1357,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-07-19,683,1352,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-07-20,676,1345,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-07-21,559,1343,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-07-22,514,1341,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-07-23,656,1336,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-07-24,647,1330,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-07-25,612,1323,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-07-26,616,1303,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-07-27,617,1298,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-07-28,524,1295,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-07-29,487,1290,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-07-30,577,1286,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-07-31,582,1281,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-08-01,533,1274,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-08-02,551,1254,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-08-03,543,1247,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-08-04,448,1243,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-08-05,375,1238,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-08-06,493,1233,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-08-07,479,1226,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-08-08,478,1220,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-08-09,457,1213,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-08-10,416,1209,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-08-11,379,1206,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-08-12,368,1202,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-08-13,432,1193,2019-10-01 20:42:30
