公司名,编号,地区,主要产品,主要市场,交易量,交易额
Wuxi City Chuanqingdayi Arts & Crafts Factory  ,1,Wuxi,"Wedding Collection,Flower Basket,Candy Bag,flower girl dress,Ring Pillow","Southeast Asia 8%', 'Oceania 8%', 'North America 8%",68,30000
Yiwu Rainbow Up Trading Limited  ,1,Yiwu,"Girl dress,Kids clothing,Fashion accessories,Baby ', 'clothes', ',Jewelry","North America 51%', 'Africa 15%', 'Southeast Asia 9%",0,0
"Shaoxing Jinguo Garment&Furnishings Co., Ltd.  ",1,Shaoxing,"shirts,hoodies,Tshirt,jacket,pants","North America 30%', 'Eastern Europe 20%', 'Southeast Asia 15%",126,30000
"Wuxi Kuanyang Textile Technology Co., Ltd.  ",1,Wuxi,"Sublimation Paper,Fabric","Southeast Asia 63.7%', 'Domestic Market 16.0%', 'Africa 10.0%",0,0
"Jian'ou City Mirongfang Garment Co., Ltd.  ",1,Jian'ou,"Home ', 'Clothes', ',Baby Kid ', 'Clothes', ',Adult ', 'Clothes', ',Work ', 'Clothes","Domestic Market 60.0%', 'North America 15.0%', 'Western Europe 15.0%",23,5000
"Hunan Di Hua E-Commerce Co., Ltd.  ",1,Hunan,clothing,"Central America 28%', 'Northern Europe 15%', 'North America 10%",0,0
Yiwu Koya Garment Factory  ,1,Yiwu,"Girls Outfits,Girls Dresses Tutu,Romper Pants,Body Suits,Apparel Accessories","North America 30%', 'Central America 20%', 'Northern Europe 10%",34,8000
"Anyang Yuehong Trading Co., Ltd.  ",1,Anyang,"Baby clothing,', 'Children', ' products,', 'Children', ' clothing,Plush toys,', 'Children', ' bed","Eastern Europe 20%', 'North America 20%', 'Africa 15%",33,10000
Yiwu Ibear Garment Factory  ,1,Yiwu,"Garment,Skirt,Accessories,pants,Scarf","North America 20%', 'South America 20%', 'Africa 10%",104,40000
"Anhui Zhenhao Import & Export Trade Co., Ltd.  ",1,Anhui,"Wedding Dress,Evening Dress,Bridesmaid Dress,Flower girl dress,Wedding accessories","Western Europe 20%', 'North America 15%', 'Africa 10%",173,40000
Guangzhou Haowei ,1,Guangzhou,"Baby ', 'Clothes', ',Baby Blanket,Baby Shoes,Baby Socks,Baby Diaper Pants","Southeast Asia 30.0%', 'Africa 20.0%', 'South America 15.0%",149,50000
"Hengshui Liou Import and Export Trade Co., Ltd.  ",1,Hengshui,"waist trainer,sport protect goods,panties,sport,baby products","Southeast Asia 20%', 'North America 15%', 'Eastern Europe 15%",272,50000
"Yancheng Joy Foundation Cultural Creativity Co., Ltd.  ",1,Yancheng,"plush toys,pet supply,Household items,Gifts & Crafts","Western Europe 30%', 'North America 30%', 'Northern Europe 5%",187,80000
"Cangnan Chengfeng Trade Co., Ltd.  ",1,Cangnan,"underwear,longjohns,shirt,pajamas,uniform","South America 70%', 'South Asia 20%', 'Western Europe 10%",11,90000
"Yiwu East Rose Trading Co., Ltd.  ",1,Yiwu,"baby ', 'clothes', ',girl accessories,girl shoes,girl headband","Central America 20%', 'South America 20%', 'North America 20%",0,0
"Guangzhou Yi Ai Trading Co., Ltd.  ",1,Guangzhou,"Women's clothing,Men's clothing,Muslim dress,Kids Clothing Set,Fashion Accessories","Southern Europe 13%', 'Northern Europe 12%', 'Western Europe 12%",42,5000
Yiwu Zipe E-Commerce Firm  ,1,Yiwu,"baby clothing,Baby Girls Dress,Girls Boutique Outfits,boutique girls clothing,', 'Children', ' Clothing Set",North America 98%,44,30000
"Yiwu Mingyou Trading Co., Ltd.  ",1,Yiwu,"Children', ' ', 'clothes', ',Maternity items,Bag","North America 30%', 'Eastern Europe 30%', 'Southern Europe 10%",0,0
"Yiwu Puresun Garment Co., Ltd.  ",1,Yiwu,"Clothing,', 'Child', ' Clothing,Scarf","North America 50.0%', 'South America 30.0%', 'Eastern Europe 10.0%",0,0
"Zhangzhou Henko Trading Co., Ltd.  ",1,Zhangzhou,"baby ', 'clothes', ',baby shoes,kid ', 'clothes', ',kid shoes,boy ', 'clothes","North America 22%', 'South America 13%', 'Western Europe 13%",173,40000
"Jiangxi Mass Garment Co., Ltd.  ",1,Jiangxi,"T-shirt,Polo Shirt,Hoodie,Pants,Tank Top","North America 15%', 'South America 15%', 'Northern Europe 15%",82,640000
"Guangzhou SHH Imp. & Exp. Co., Ltd.  ",1,Guangzhou,"Men's linen T-shirt & shirt,Men's hoodies,Women's sweatshirt,"", ""Children's"", ' T-shirt & ', 'clothes', ' suit,', ""Children's"", ' shoes","North America 30%', 'Southeast Asia 30%', 'Northern Europe 20%",122,20000
